LineageOS_compatible,manufacturer,nationality_device,name_device,datetime_release,codename_device,type_device,main_material_case,screen_diagonal_inches,screen_dimensions_inches,screen_aspect_ratio,screen_dimensions_dpi,screen_dimensions_pixels,screen_density
True,ARK,Russian,Benefit A3,2015-07,peach,Phone,,,,,,,
True,Asus,Taiwan,ZenPad 8.0 (Z380KL),2015-07,P024,Tablet,plastic,,,,,,
True,Asus,Taiwan,Zenfone 2 (1080p),2015-03,Z00A,Phone,plastic,,,,,,
True,Asus,Taiwan,Zenfone 2 (720p),2015-03,Z008,Phone,plastic,,,,,,
True,Asus,Taiwan,Zenfone 2 (ZE500CL),2015-03,Z00D,Phone,plastic,,,,,,
True,Asus,Taiwan,Zenfone 2 Laser (720p),2015-11,Z00L,Phone,plastic,,,,,,
True,Asus,Taiwan,Zenfone 2 Laser/Selfie (1080p),2015-11,Z00T,Phone,plastic,,,,,,
True,Asus,Taiwan,Zenfone Max Pro M1,2018-05,X00TD,Phone,metal,,,,403 dpi,2160 x 1080 px,
True,BQ,Spain,Aquaris E5 4G,2014,vegetalte,Phone,plastic,,,,,,
True,BQ,Spain,Aquaris E5s,2015,vegetalte,Phone,plastic,,,,,,
True,BQ,Spain,Aquaris M5,2015-08,piccolo,Phone,plastic,,,,,,
True,BQ,Spain,Aquaris U,2016,chaozu,Phone,plastic,,,,,,
True,BQ,Spain,Aquaris U Plus,2016,tenshi,Phone,metal,,,,,,
True,BQ,Spain,Aquaris X,2017-06,bardock,Phone,plastic,,,,,,
True,BQ,Spain,Aquaris X Pro,2017-06,bardockpro,Phone,glass,,,,,,
True,BQ,Spain,Aquaris X5,2015-03,paella,Phone,metal,,,,,,
True,BQ,Spain,Aquaris X5 Plus,2016,gohan,Phone,metal,,,,,,
True,Fairphone,Netherlands,Fairphone 2,2015-12,FP2,Phone,plastic,5,,,,1080 x 1920 px,
True,Fairphone,Netherlands,Fairphone 3,2019-09,FP3,Phone,plastic,5.65,,,,1080 x 2160 px,427 ppi
True,Google,USA,Android One 2nd Gen,2015-07,seed,Phone,,4.5,2.2 x 3.9,16:9,320 x 569 dp,480 x 854 px,1.5 hdpi
True,Google,USA,Galaxy Nexus GSM,2011-10,maguro,Phone,,,,,,,
True,Google,USA,Galaxy Nexus LTE (Sprint),2012-01,toroplus,Phone,,,,,,,
True,Google,USA,Galaxy Nexus LTE (Verizon),2011-12-15,toro,Phone,,,,,,,
True,Google,USA,Nexus 10,2012-11-13,manta,Tablet,,10.1,8.6 x 5.4,16:10,1280 x 800 dp,2560 x 1600 px,2.0 xhdpi
